,coordenada_x,coordenada_y,Zona
554,5439548.42,6355812.16,9
555,5439548.42,6355812.16,9
556,5439548.42,6355812.16,9
557,5439548.42,6355812.16,9
558,5439548.42,6355812.16,9
559,5439548.42,6355812.16,9
560,5439548.42,6355812.16,9
561,5439548.42,6355812.16,9
562,5439548.42,6355812.16,9
563,5439548.42,6355812.16,9
575,5434903.602619219,6356307.595498611,5
576,5434903.602619219,6356307.595498611,5
577,5434903.602619219,6356307.595498611,5
578,5434903.602619219,6356307.595498611,5
579,5434903.602619219,6356307.595498611,5
580,5434903.602619219,6356307.595498611,5
581,5434903.602619219,6356307.595498611,5
592,5432192.317316472,6357992.470354535,4
593,5439554.052821807,6352481.74334429,1
599,5437565.847295144,6349291.410682717,8
600,5437565.847295144,6349291.410682717,8
601,5437565.847295144,6349291.410682717,8
604,5436629.2970711,6357161.341062136,5
605,5436629.2970711,6357161.341062136,5
610,5430886.5399999535,6362347.629999973,2
611,5430886.5399999535,6362347.629999973,2
612,5434837.823713606,6356060.892127917,5
613,5434837.823713606,6356060.892127917,5
614,5434837.823713606,6356060.892127917,5
615,5434837.823713606,6356060.892127917,5
616,5434837.823713606,6356060.892127917,5
617,5434837.823713606,6356060.892127917,5
618,5434837.823713606,6356060.892127917,5
619,5434837.823713606,6356060.892127917,5
620,5434837.823713606,6356060.892127917,5
621,5440694.716536501,6348886.046512283,3
622,5440694.716536501,6348886.046512283,3
623,5440694.716536501,6348886.046512283,3
628,5431887.876341845,6361606.2457726095,2
629,5431887.876341845,6361606.2457726095,2
630,5431887.876341845,6361606.2457726095,2
631,5431887.876341845,6361606.2457726095,2
632,5431887.876341845,6361606.2457726095,2
633,5431887.876341845,6361606.2457726095,2
634,5431887.876341845,6361606.2457726095,2
635,5431887.876341845,6361606.2457726095,2
636,5431887.876341845,6361606.2457726095,2
637,5431887.876341845,6361606.2457726095,2
638,5431887.876341845,6361606.2457726095,2
639,5431887.876341845,6361606.2457726095,2
641,5436362.29714527,6355617.233833661,5
642,5436362.29714527,6355617.233833661,5
643,5436362.29714527,6355617.233833661,5
644,5436362.29714527,6355617.233833661,5
645,5441259.585,6350142.0625,3
646,5441259.585,6350142.0625,3
647,5441259.585,6350142.0625,3
648,5441259.585,6350142.0625,3
649,5441259.585,6350142.0625,3
650,5441259.585,6350142.0625,3
651,5441259.585,6350142.0625,3
652,5441259.585,6350142.0625,3
653,5441259.585,6350142.0625,3
654,5441259.585,6350142.0625,3
655,5441259.585,6350142.0625,3
656,5441259.585,6350142.0625,3
657,5441259.585,6350142.0625,3
658,5441259.585,6350142.0625,3
659,5441259.585,6350142.0625,3
674,5437289.438915754,6357188.578825088,5
675,5433966.705437092,6347840.654071793,8
676,5440562.439222742,6353615.781993953,1
677,5440562.439222742,6353615.781993953,1
678,5434505.075550948,6360207.143507036,6
684,5438874.0,6350568.57,8
685,5438874.0,6350568.57,8
687,5434130.435247897,6352146.431549249,0
688,5434130.435247897,6352146.431549249,0
689,5434130.435247897,6352146.431549249,0
690,5434130.435247897,6352146.431549249,0
691,5434130.435247897,6352146.431549249,0
692,5434130.435247897,6352146.431549249,0
693,5432359.46,6355581.145,0
694,5432552.74691653,6356360.956230878,4
695,5432552.74691653,6356360.956230878,4
700,5432755.7,6354538.0,0
701,5435622.687806065,6358777.179604796,6
702,5435622.687806065,6358777.179604796,6
704,5437431.668176199,6349263.14042187,8
705,5437431.668176199,6349263.14042187,8
706,5437431.668176199,6349263.14042187,8
707,5437431.668176199,6349263.14042187,8
708,5437431.668176199,6349263.14042187,8
709,5437431.668176199,6349263.14042187,8
710,5437431.668176199,6349263.14042187,8
711,5437431.668176199,6349263.14042187,8
712,5437694.983621626,6349362.633114148,8
713,5437694.983621626,6349362.633114148,8
721,5437024.970064543,6355539.237259881,5
722,5437892.99352861,6355651.493675523,9
723,5437892.99352861,6355651.493675523,9
730,5435654.326179588,6352289.286181538,7
731,5435654.326179588,6352289.286181538,7
732,5435654.326179588,6352289.286181538,7
733,5435654.326179588,6352289.286181538,7
734,5435654.326179588,6352289.286181538,7
735,5435654.326179588,6352289.286181538,7
736,5436871.333094322,6352988.171265217,7
737,5436871.333094322,6352988.171265217,7
738,5436871.333094322,6352988.171265217,7
739,5436871.333094322,6352988.171265217,7
740,5436871.333094322,6352988.171265217,7
741,5436871.333094322,6352988.171265217,7
742,5436871.333094322,6352988.171265217,7
743,5436871.333094322,6352988.171265217,7
744,5436871.333094322,6352988.171265217,7
745,5436871.333094322,6352988.171265217,7
746,5436871.333094322,6352988.171265217,7
747,5436871.333094322,6352988.171265217,7
748,5436871.333094322,6352988.171265217,7
749,5436871.333094322,6352988.171265217,7
750,5436871.333094322,6352988.171265217,7
751,5436871.333094322,6352988.171265217,7
752,5436871.333094322,6352988.171265217,7
753,5436871.333094322,6352988.171265217,7
754,5436871.333094322,6352988.171265217,7
755,5436871.333094322,6352988.171265217,7
756,5436871.333094322,6352988.171265217,7
757,5436871.333094322,6352988.171265217,7
758,5436871.333094322,6352988.171265217,7
759,5436871.333094322,6352988.171265217,7
760,5436871.333094322,6352988.171265217,7
761,5436871.333094322,6352988.171265217,7
762,5436871.333094322,6352988.171265217,7
763,5436871.333094322,6352988.171265217,7
764,5428419.15999998,6358240.259999947,4
765,5435084.101973589,6359892.921793992,6
766,5435084.101973589,6359892.921793992,6
774,5436222.331429109,6358323.430982965,6
775,5436222.331429109,6358323.430982965,6
776,5436222.331429109,6358323.430982965,6
777,5436222.331429109,6358323.430982965,6
778,5436222.331429109,6358323.430982965,6
779,5436222.331429109,6358323.430982965,6
780,5436222.331429109,6358323.430982965,6
781,5436222.331429109,6358323.430982965,6
786,5438330.608654266,6355102.50306032,9
787,5438330.608654266,6355102.50306032,9
788,5438330.608654266,6355102.50306032,9
789,5438330.608654266,6355102.50306032,9
793,5438022.932800701,6354266.132322884,9
794,5437112.865475518,6357467.315819528,5
795,5437112.865475518,6357467.315819528,5
796,5437112.865475518,6357467.315819528,5
797,5437112.865475518,6357467.315819528,5
798,5437112.865475518,6357467.315819528,5
799,5437112.865475518,6357467.315819528,5
800,5437112.865475518,6357467.315819528,5
801,5437112.865475518,6357467.315819528,5
802,5437112.865475518,6357467.315819528,5
803,5437112.865475518,6357467.315819528,5
804,5437112.865475518,6357467.315819528,5
807,5435754.812777312,6348465.453835134,8
809,5438869.196381487,6350290.8453017,8
810,5438869.196381487,6350290.8453017,8
811,5438869.196381487,6350290.8453017,8
812,5438869.196381487,6350290.8453017,8
813,5438869.196381487,6350290.8453017,8
814,5438869.196381487,6350290.8453017,8
823,5437360.591035349,6352192.673275925,7
834,5438458.351646735,6355076.176267993,9
835,5438458.351646735,6355076.176267993,9
836,5438458.351646735,6355076.176267993,9
837,5438458.351646735,6355076.176267993,9
841,5432383.65505195,6357822.228551127,4
846,5437263.34,6348720.43,8
847,5437263.34,6348720.43,8
848,5437364.38,6348724.68,8
849,5437364.38,6348724.68,8
850,5437364.38,6348724.68,8
851,5437364.38,6348724.68,8
852,5437364.38,6348724.68,8
853,5437364.38,6348724.68,8
855,5439336.905928221,6356005.813472841,9
856,5439336.905928221,6356005.813472841,9
857,5439336.905928221,6356005.813472841,9
858,5439336.905928221,6356005.813472841,9
859,5439336.905928221,6356005.813472841,9
867,5435830.177032147,6357540.887291048,5
868,5435830.177032147,6357540.887291048,5
869,5435830.177032147,6357540.887291048,5
870,5435830.177032147,6357540.887291048,5
871,5435830.177032147,6357540.887291048,5
872,5435830.177032147,6357540.887291048,5
873,5435830.177032147,6357540.887291048,5
874,5435830.177032147,6357540.887291048,5
879,5434319.9662012,6352927.125525454,0
880,5434319.9662012,6352927.125525454,0
881,5434319.9662012,6352927.125525454,0
884,5436496.928932625,6355231.528620044,5
885,5436496.928932625,6355231.528620044,5
886,5432400.51,6361536.42,2
887,5432400.51,6361536.42,2
896,5435792.249329475,6348284.902946343,8
903,5437210.170106168,6355092.701129151,9
904,5437210.170106168,6355092.701129151,9
907,5433397.165,6354695.66,0
910,5431948.898418651,6357633.931561906,4
911,5431948.898418651,6357633.931561906,4
912,5431948.898418651,6357633.931561906,4
913,5431948.898418651,6357633.931561906,4
914,5431948.898418651,6357633.931561906,4
915,5431948.898418651,6357633.931561906,4
916,5431948.898418651,6357633.931561906,4
917,5431948.898418651,6357633.931561906,4
918,5431948.898418651,6357633.931561906,4
919,5431948.898418651,6357633.931561906,4
920,5433885.625205879,6353719.7632644,0
921,5433885.625205879,6353719.7632644,0
923,5439361.110762156,6350215.903758697,3
924,5439361.110762156,6350215.903758697,3
925,5439361.110762156,6350215.903758697,3
926,5439361.110762156,6350215.903758697,3
927,5439361.110762156,6350215.903758697,3
928,5439361.110762156,6350215.903758697,3
933,5437439.359435825,6351751.654509091,7
935,5439667.162074081,6355157.765842559,9
936,5439667.162074081,6355157.765842559,9
937,5437794.135,6355656.59,9
938,5438842.496123459,6356076.51670319,9
939,5438842.496123459,6356076.51670319,9
940,5438842.496123459,6356076.51670319,9
948,5436548.736136388,6353719.014990271,7
949,5438390.745113997,6355403.594598385,9
950,5438390.745113997,6355403.594598385,9
951,5438390.745113997,6355403.594598385,9
952,5438390.745113997,6355403.594598385,9
960,5430716.625375448,6362677.263311712,2
961,5430716.625375448,6362677.263311712,2
962,5430716.625375448,6362677.263311712,2
963,5430716.625375448,6362677.263311712,2
964,5430716.625375448,6362677.263311712,2
965,5439808.127541305,6354109.032036061,1
966,5439808.127541305,6354109.032036061,1
967,5439808.127541305,6354109.032036061,1
968,5439808.127541305,6354109.032036061,1
969,5433618.421773316,6361254.379962659,2
970,5433618.421773316,6361254.379962659,2
971,5433618.421773316,6361254.379962659,2
972,5433618.421773316,6361254.379962659,2
973,5433618.421773316,6361254.379962659,2
978,5435066.131216499,6351406.906479261,7
979,5435066.131216499,6351406.906479261,7
980,5435066.131216499,6351406.906479261,7
981,5435066.131216499,6351406.906479261,7
984,5435790.394775083,6355627.367682462,5
986,5437443.225946029,6351771.203611132,7
987,5438842.650199137,6350162.850055174,8
988,5438842.650199137,6350162.850055174,8
989,5438842.650199137,6350162.850055174,8
